WORD,Meaning
"otherwise","그렇지 않으면"
"not a big deal","별 일 아니다"
"On that front","그점에 있어서는"
"Email + 사람","~에게 메일을 보내다"
"In a bit","조금 있다가"
"apurpose","고의로, 일부러"
"text, message + 사람","~에게 메세지를 보내다"
"message me","메세지 줘"
"Send a message to ~","~에게 메시지를 보내다"
"Call","에게 전화걸다"
"call to N","N를 소리쳐 부르다, 부르다"
"call for","요구하다"
"Prefix","접두사"
"Plagiarism","표절"
"Draft","초안"
"Overseas","해외"
"Entree","주요리, 입장"
"C/O","care of : ~씨 앞으로 전달해 주세요 느낌"
"Two hour windows","두시간 내 - 라는 의미"
"Window","제한된 시간, 범위 등으로도 쓰임"
"Stereo","오디오"
"Stereotype","고정관념"
"kinesiology","운동학"
"Sneeze","재채기"
"Right triangle","직각삼각형"
"Fish cake","어묵"
"Pepper","후추"
"Radish","무"
"Pickled radish","단무지"
"Rice cake","떡"
"Portable charger","보조배터리"
"Translate","옮기다, 번역하다"
"Up until a year ago","1년 전까지만 해도"
"up until : ~","까지 쭉"
"consonant","자음"
"vowel","모음"
"intonation","억양"
"whole","완전한, 전체의"
"Ask for","요구하다"
"be looking for","찾고있다"
"be looking forward to","기대하고 있다"
"roast dinner","주말 가족 큰 상차림 느낌"
"fuss","관심, 신경, 호들갑"
"be fussed on / about ~","에 신경쓰다, 관심있다"
"Things like : ~","같은 것들"
"like","약간, 뭐랄까"
"tie","무승부"
"1 verse 1","1 대 1 (점수 말고 인원수)"
"draw","무승부"
"flour","밀가루"
"flower","꽃"
"meet","만나다"
"meat","고기"
"sea","바다"
"see","보다"
"right","오른쪽, 옳은"
"write","쓰다"
"knight","기사 (중세)"
"night","밤"
"pair","한 쌍"
"pear","배(과일)"
"sun","태양"
"son","아들"
"like","닮았다. 비슷하다"
"as ~","대로, ~처럼 (방법/역할)"
"As if","마치 ~처럼 (가정/상상)"
"difficulty","어려움/장애물"
"obstacle","어려움/장애물"
"hurdle","어려움/장애물"
"Predicament","난처한 곤경"
"crisis","위기"
"uncertainty","불확실성"
"unpredictability","불확실성"
"insecurity","불확실성"
"Hesitate","망설이다"
"Sense of relief","안도감"
"sense of reassurance","안도감"
"Reassure","안심시키다, 확신시키다."
"Assure","보장하다, 확신시키다."
"no longer alone, not alone anymore","더 이상 혼자가 아닌"
"Offer to 동사원형","~ 해주다, 행동을 제안하다"
"Wrap your head around something","복잡하거나 충격적인 사실을 이해하다, 받아들이다"
"Stretch one’s money","돈을 절약해 오래 쓰다"
"Farewell","작별 인사"
"goodbye","작별 인사"
"stepping stones","발판"
"a springboard","도약대"
"Laughter","웃음, 웃음소리"
"Laugh","웃다, 웃음"
"overlapped with, mirrored","겹쳤다"
"Journey","여정"
"Voyage","바다, 우주 같은 긴여행"
"personal growth","개인의 내적 성장"
"shake","흔들다 - shook 흔들었다."
"unsettle","동요시키다, 불안정해지다, 뒤흔들다"
"loss, damage, setback","손실"
"Setback","계획이나 발전의 차질, 좌절"
"Longing","갈망, 간절히 그리워 하는 마음"
"Long","그리워하다, 갈망하다"
"Radius","반지름"
"Diameter","지름"
"Sqrt","제곱근 (square root)"
"Cube root","세제곱근"
"Forth root","네제곱근"
"punctuation","구두점, 문장부호 / 구두법"
"hamper","방해하다, 저해하다, (진행에) 문제를 일으키다"
"firsthand","직접적인, 직접 경험한"
"up-to-date","최신의, 최신 정보를 반영한"
"invigorate","활기를 불어넣다, 기운 나게 하다"
"articulate","(생각을) 분명히 표현하다, 또렷하게 말하다"
"garner","(정보·지지 등을) 얻다, 모으다"
"before a live audience","관중 앞에서, 실제 청중 앞에서"
"oppression","억압, 압제, 억누름"
"acquiescing","(마지못해) 순응하다, 묵인하다, 받아들이다"
"thesis","논문, 논제, 주장 (특히 학위 논문)"
"likelihood","가능성, 확률"
"convey","전달하다, 전하다 (생각·감정·정보 등을)"
"formulaic","정형화된, 틀에 박힌, 공식적인"
"infrastructure","사회 기반 시설 (도로·철도·통신·전력망 등)"
"unalterably","불변하게, 바꿀 수 없게"
"hostile","적대적인, 적의 있는"
"stilted","(말이나 글이) 부자연스러운, 딱딱한"
"manifestation","(감정·현상 등의) 나타남, 표현, 징후"
"sparingly","조금만, 절약하여, 드물게"
"sparing","절약하는, 아끼는, 검소한"
"sailing","항해, 배 타고 가는 것"
"Spare","여분의, 여가, 남은, 아끼다"
"Shame","아쉬운 일, 수치심, 부끄러움"
"weather-wise","날씨 면에서는"
"money-wise","돈 관련해서는"
"schedule-wise","일정 면에서는"
"health-wise","건강 관련해서는"
"emotional","감정적인, 정서적인"
"mental","정신적인"
"psychological","심리적인"
"memory","추억 (가산)"
"memory","기억력 (불가산)"
"Stand","견디다"
"connected to","직접적으로 관련되다"
"connected with","(추상적, 일반적으로) 관련되다."
"Irritation","짜증"
"Irritate","짜증나게 하다"
"symbol","상징"
"In modern academic culture","현대의 학문적 문화에서"
"a decline in academic performance","학업 성취도 저하"
"long-term memory","장기 기억"
"the likelihood of anxiety and depression","불안과 우울증의 가능성"
"Likelihood","가능성"
"insomnia","불면증"
"expatriate","외국인"
"Forgive","용서하다"
"Verdict","평결(유무죄에 대한 배심원의 최종 판단)"
"sober up","술 깨다"
"tipsy","알딸딸한"
"sarcasm","빈정거림, 비아냥, 비꼼"
"Layover","경유 대기시간"
"Vain","헛된"
"Ethnicity","인종적 정체성, 민족성"
"Race","신체적, 인종적 분류"
"causation","인과관계"
"Correlation","상관관계"
"Irritability","과민성"
"Milestone","이정표, 중요한 시점"
"Sore [sɔːr]","아픈"
"Throat","목"
"Quote [kwout]","인용하다, 문구"
